Strategy,Terminal P&L
学習戦略,-16.37257
学習戦略,-8.166913
学習戦略,-18.380262
学習戦略,-10.138857
学習戦略,-6.094016
学習戦略,-4.798842
学習戦略,-1.6261775
学習戦略,-2.2892609
学習戦略,-4.1220345
学習戦略,-6.2584643
学習戦略,-14.698324
学習戦略,-1.686251
学習戦略,-14.083855
学習戦略,-13.65907
学習戦略,-2.4246898
学習戦略,-11.477756
学習戦略,-9.706527
学習戦略,-12.38552
学習戦略,-8.122392
学習戦略,-9.380332
学習戦略,-11.117438
学習戦略,-7.2266054
学習戦略,-9.167974
学習戦略,-8.307621
学習戦略,-17.67627
学習戦略,-11.365936
学習戦略,-10.770694
学習戦略,-3.8988912
学習戦略,-10.842534
学習戦略,-10.3024025
学習戦略,-3.6707954
学習戦略,-11.483083
学習戦略,-17.382597
学習戦略,-8.547775
学習戦略,-8.645882
学習戦略,-12.036765
学習戦略,-5.153713
学習戦略,-13.843904
学習戦略,-2.6311617
学習戦略,-10.592052
学習戦略,-8.164489
学習戦略,-2.3551166
学習戦略,-8.006665
学習戦略,-12.211035
学習戦略,-4.964701
学習戦略,-4.2236767
学習戦略,-5.93765
学習戦略,-4.447277
学習戦略,-2.7725487
学習戦略,-7.884457
学習戦略,-10.977127
学習戦略,-12.968274
学習戦略,-3.3285282
学習戦略,-2.9399467
学習戦略,-7.475293
学習戦略,-1.191056
学習戦略,-6.363768
学習戦略,-3.979319
学習戦略,-4.4355936
学習戦略,-8.548375
学習戦略,-1.2736313
学習戦略,-6.175223
学習戦略,-15.156536
学習戦略,-8.230275
学習戦略,-13.6026945
学習戦略,-7.386415
学習戦略,-5.8220315
学習戦略,-9.336604
学習戦略,-11.934265
学習戦略,-7.991987
学習戦略,-9.07051
学習戦略,-9.672465
学習戦略,-8.751891
学習戦略,-3.703314
学習戦略,-11.233434
学習戦略,-12.889435
学習戦略,-9.295626
学習戦略,-2.0592442
学習戦略,-11.275917
学習戦略,-3.4321568
学習戦略,-8.967788
学習戦略,-1.7381322
学習戦略,-10.072435
学習戦略,-10.001409
学習戦略,-4.806071
学習戦略,-4.116167
学習戦略,-6.279957
学習戦略,-5.341634
学習戦略,-4.5993414
学習戦略,-14.1280575
学習戦略,-15.31484
学習戦略,-4.935534
学習戦略,-6.047156
学習戦略,-12.2033205
学習戦略,-7.31976
学習戦略,-9.909871
学習戦略,-4.745792
学習戦略,-17.276594
学習戦略,-13.668093
学習戦略,-8.368389
学習戦略,-14.401223
学習戦略,-6.939627
学習戦略,-6.926884
学習戦略,-10.115839
学習戦略,-3.1231937
学習戦略,-4.425234
学習戦略,-6.150395
学習戦略,-4.50851
学習戦略,-6.0456386
学習戦略,-10.185411
学習戦略,-5.0146456
学習戦略,-14.554409
学習戦略,-9.549121
学習戦略,-7.916764
学習戦略,-5.8671384
学習戦略,-4.9844418
学習戦略,-13.381517
学習戦略,-11.184281
学習戦略,-9.122892
学習戦略,-6.8071675
学習戦略,-4.379152
学習戦略,-4.73062
学習戦略,-1.7090586
学習戦略,-11.428116
学習戦略,-2.552665
学習戦略,-11.773896
学習戦略,-13.604953
学習戦略,-6.106306
学習戦略,-12.265334
学習戦略,-15.619624
学習戦略,-7.311118
学習戦略,-15.628044
学習戦略,-4.8971744
学習戦略,-7.134667
学習戦略,-9.427422
学習戦略,-7.8976583
学習戦略,-4.816243
学習戦略,-19.807327
学習戦略,-9.013706
学習戦略,-3.9808702
学習戦略,-15.218089
学習戦略,-9.257981
学習戦略,-6.3984666
学習戦略,-4.46725
学習戦略,-5.058145
学習戦略,-14.764481
学習戦略,-7.76103
学習戦略,-5.3305645
学習戦略,-5.8837814
学習戦略,-16.153696
学習戦略,-6.860418
学習戦略,-10.865519
学習戦略,-12.556154
学習戦略,-16.82057
学習戦略,-11.372381
学習戦略,-9.939501
学習戦略,-6.7316003
